side,entry_price,exit_price,pnl,balance,prob_up_entry
SHORT,99472.0,100248.0,-3.16580418052495,402.64459974367384,0.00017535655933897942
SHORT,99763.98,100418.32,-2.6408977207633337,400.0037020229105,0.00031571160070598125
SHORT,99579.23,100078.34,-2.004894471634847,397.99880755127566,7.483587978640571e-05
SHORT,99873.16,100897.01,-4.080085972160794,393.91872157911484,0.0002501679118722677
SHORT,105527.35,106444.01,-3.421762560347706,390.49695901876714,3.962728442274965e-06
SHORT,105332.84,104500.0,3.087560226698427,393.5845192454656,7.177549832704244e-06
SHORT,104531.03,104618.69,-0.3300610254874459,393.2544582199781,3.7801378311996814e-06
SHORT,104656.18,101376.38,12.32412622044761,405.57858444042574,5.230236183706438e-06
SHORT,101248.06,100534.56,2.85813199777107,408.4367164381968,0.00039327930426225066
SHORT,101090.89,101548.54,-1.8490396442047285,406.5876767939921,0.0003643048112280667
SHORT,101612.81,102483.39,-3.483488938681193,403.1041878553109,1.5920624719001353e-05
SHORT,102409.34,100679.86,6.80758835875715,409.911776214068,8.220275958592538e-06
SHORT,100057.83,101098.12,-4.261806614012444,405.64996960005556,0.0005173414829187095
SHORT,100716.3,98932.73,7.183595071300014,412.8335646713556,0.00047728230128996074
SHORT,98696.96,96932.1,7.38212651074452,420.2156911821001,0.0009409523918293417
SHORT,96409.54,97521.91,-4.848434381081313,415.3672568010188,0.009081951342523098
SHORT,97864.23,98391.21,-2.236672551237605,413.1305842497812,0.004516997840255499
SHORT,97949.54,97188.0,3.2120157494315524,416.3425999992127,0.0010445157531648874
SHORT,97546.65,97767.94,-0.9444963405081533,415.39810365870454,0.001337320194579661
SHORT,97721.96,97281.37,1.8728671681471987,417.27097082685174,0.0004981763195246458
SHORT,98039.82,94722.01,14.121056114944395,431.39202694179613,0.0006944401538930833
SHORT,94971.98,93643.6,6.033911694259035,437.42593863605515,0.005397668574005365
SHORT,93777.1,95480.35,-7.944857859561179,429.48108077649397,0.017192646861076355
SHORT,95204.0,95971.99,-3.4645306418379906,426.016550134656,0.021293029189109802
SHORT,95627.99,97065.35,-6.403346431327828,419.61320370332817,0.008806371130049229
SHORT,97207.69,97584.33,-1.625829366409399,417.9873743369188,0.004236655775457621
SHORT,97232.9,96408.85,3.542448037879502,421.5298223747983,0.0003073589759878814
SHORT,96623.29,97463.93,-3.667385263751102,417.8624371110472,0.0012220925418660045
SHORT,97632.41,98691.98,-4.534913175755367,413.3275239352918,0.0006310308235697448
SHORT,98236.74,97564.56,2.828172993513698,416.1556969288055,0.00012447152403183281
SHORT,97493.96,97851.2,-1.524888938461859,414.63080799034367,0.0008688121451996267
SHORT,97826.37,96739.99,4.604552097604638,419.2353600879483,0.00021871451463084668
SHORT,96740.01,97190.0,-1.9500899336890525,417.28527015425925,0.0002845090057235211
SHORT,96940.27,96184.93,3.251406829775911,420.5366769840352,0.00035944662522524595
SHORT,96124.49,95592.49,2.327455908015798,422.864132892051,0.0007042119977995753
SHORT,95509.81,95547.41,-0.16647181474597772,422.697661077305,0.001400799723342061
SHORT,95390.78,95462.19,-0.3164335167144225,422.38122756059056,0.0013301781145855784
SHORT,95540.0,96350.06,-3.581265827901749,418.7999617326888,0.001969004515558481
SHORT,96090.91,95939.57,0.6595960659402994,419.45955779862913,0.000897236808668822
SHORT,95895.99,93980.61,8.378081792745858,427.83763959137497,0.0005619061994366348
SHORT,93411.99,94050.0,-2.922159055124394,424.9154805362506,0.008046608418226242
SHORT,94072.42,94947.7,-3.9535500607273653,420.9619304755232,0.005711287725716829
